classes,features,classifier,estimator,classes,acc,f1
'MCI_AD',600,'RandomForest',50,'MCI_AD',0.776980392,0.686732746
'MCI_AD',200,'RandomForest',100,'MCI_AD',0.776972549,0.69122333
'MCI_AD',400,'RandomForest',100,'MCI_AD',0.776956863,0.686724299
'MCI_AD',800,'RandomForest',100,'MCI_AD',0.776619608,0.680651541
'MCI_AD',600,'RandomForest',700,'MCI_AD',0.776203922,0.679810906
'MCI_AD',800,'RandomForest',50,'MCI_AD',0.776196078,0.686364054
'MCI_AD',200,'GradientBoosting',100,'MCI_AD',0.776031373,0.742629149
'MCI_AD',200,'RandomForest',50,'MCI_AD',0.775819608,0.691071134
'MCI_AD',600,'RandomForest',100,'MCI_AD',0.775788235,0.682212181
'MCI_AD',1000,'RandomForest',50,'MCI_AD',0.775780392,0.684297436
'MCI_AD',200,'RandomForest',1000,'MCI_AD',0.775403922,0.681999851
'MCI_AD',400,'RandomForest',300,'MCI_AD',0.774603922,0.679703688
'MCI_AD',200,'RandomForest',300,'MCI_AD',0.774603922,0.681601485
'MCI_AD',200,'RandomForest',500,'MCI_AD',0.774203922,0.681345388
'MCI_AD',200,'RandomForest',700,'MCI_AD',0.774203922,0.680712789
'MCI_AD',200,'GradientBoosting',50,'MCI_AD',0.773976471,0.737771157
'MCI_AD',400,'RandomForest',700,'MCI_AD',0.773803922,0.678615809
'MCI_AD',400,'RandomForest',1000,'MCI_AD',0.773803922,0.678615809
'MCI_AD',400,'RandomForest',500,'MCI_AD',0.773403922,0.678412047
'MCI_AD',400,'RandomForest',50,'MCI_AD',0.773380392,0.686971107
'MCI_AD',400,'GradientBoosting',700,'MCI_AD',0.772752941,0.738062751
'MCI_AD',400,'GradientBoosting',50,'MCI_AD',0.771443137,0.729306285
'MCI_AD',400,'GradientBoosting',500,'MCI_AD',0.768713725,0.73747964
'MCI_AD',1000,'GradientBoosting',700,'MCI_AD',0.767176471,0.724821594
'MCI_AD',1000,'GradientBoosting',300,'MCI_AD',0.766705882,0.721028391
'MCI_AD',800,'GradientBoosting',1000,'MCI_AD',0.765984314,0.721516115
'MCI_AD',1000,'GradientBoosting',500,'MCI_AD',0.765545098,0.722767477
'MCI_AD',400,'GradientBoosting',1000,'MCI_AD',0.764454902,0.731408661
