Gene,importance
11728845_a_at_NCOA1,2.42E-06
11731443_a_at_ARHGEF12,2.26E-06
11763844_s_at_UBXN6,1.71E-06
11721629_a_at_MAFB,1.45E-06
11746441_a_at_TGFBR1,1.40E-06
11739121_a_at_XPO7,1.35E-06
11720233_a_at_RHOBTB2,1.19E-06
AFFX-ThrX-3_at_AFFX-r2-TagE_at,1.12E-06
11753731_x_at_SNCA,1.06E-06
11717008_a_at_BNIP3L,9.28E-07
11722036_a_at_SND1,7.12E-07
11715416_s_at_DDB1,6.50E-07
11762503_at_11762535_at,6.37E-07
11758696_x_at_HBG1 || HBG2,6.36E-07
11730513_a_at_LSMEM1,6.27E-07
11715647_a_at_ADIPOR1,5.81E-07
11725009_a_at_EPB42,5.32E-07
11751277_a_at_AMHR2,2.69E-07
11763818_x_at_PRR5,2.25E-07
11726539_a_at_OSBPL9,1.76E-07
11726866_at_FOXO4,1.75E-07
11733837_a_at_VTI1B,1.53E-07
11737280_at_IFIT1B,1.27E-07
11744478_s_at_HBG2,6.60E-08
11734316_a_at_WDR17,4.25E-08
11755456_a_at_AP2S1,2.38E-10
